machine_id,timestamp,temperature,pressure,vibration_level,humidity,power_consumption,failure_status
MACHINE_001,2025-01-01 00:00:00,56.23,106.0,3.75,77.5,92.06,0
MACHINE_002,2025-01-01 00:10:00,36.45,179.39,8.02,74.75,30.3,0
MACHINE_003,2025-01-01 00:20:00,64.44,432.66,4.38,62.55,38.74,0
MACHINE_004,2025-01-01 00:30:00,23.28,407.56,4.77,38.96,58.7,0
MACHINE_005,2025-01-01 00:40:00,27.35,197.15,8.81,50.49,35.34,2
MACHINE_006,2025-01-01 00:50:00,29.55,166.84,8.81,37.65,86.99,0
MACHINE_007,2025-01-01 01:00:00,30.04,212.84,3.48,83.29,88.96,0
MACHINE_008,2025-01-01 01:10:00,46.49,112.2,9.63,47.22,91.8,0
MACHINE_009,2025-01-01 01:20:00,34.97,172.57,8.78,37.05,53.3,0
MACHINE_010,2025-01-01 01:30:00,72.74,302.04,5.49,40.43,25.28,0
MACHINE_011,2025-01-01 01:40:00,57.0,329.5,0.42,51.3,21.1,0
MACHINE_012,2025-01-01 01:50:00,68.97,316.31,0.18,72.55,22.44,0
MACHINE_013,2025-01-01 02:00:00,68.09,335.67,3.57,72.54,51.79,0
MACHINE_014,2025-01-01 02:10:00,37.23,234.68,5.08,32.13,21.71,2
MACHINE_015,2025-01-01 02:20:00,50.25,229.95,3.38,74.0,96.78,0
MACHINE_016,2025-01-01 02:30:00,60.08,207.23,1.03,38.22,92.46,0
MACHINE_017,2025-01-01 02:40:00,22.92,374.7,1.66,69.54,61.12,0
MACHINE_018,2025-01-01 02:50:00,68.35,423.57,0.26,55.75,95.89,0
MACHINE_019,2025-01-01 03:00:00,56.18,360.71,5.6,61.02,37.32,0
MACHINE_020,2025-01-01 03:10:00,31.4,130.59,3.93,31.57,75.36,0
MACHINE_021,2025-01-01 03:20:00,25.38,275.1,2.08,84.96,28.79,0
MACHINE_022,2025-01-01 03:30:00,62.0,295.78,7.04,88.0,48.42,0
MACHINE_023,2025-01-01 03:40:00,39.3,204.27,3.93,52.71,12.21,0
MACHINE_024,2025-01-01 03:50:00,36.16,148.25,9.98,80.71,22.23,0
MACHINE_025,2025-01-01 04:00:00,76.22,253.93,0.11,38.32,35.33,0
MACHINE_026,2025-01-01 04:10:00,70.44,162.27,2.84,77.45,32.94,0
MACHINE_027,2025-01-01 04:20:00,25.87,132.97,4.54,34.67,24.01,0
MACHINE_028,2025-01-01 04:30:00,67.23,105.74,7.78,30.95,54.21,0
MACHINE_029,2025-01-01 04:40:00,58.78,379.59,7.83,49.4,44.08,0
MACHINE_030,2025-01-01 04:50:00,61.38,483.98,9.16,50.98,59.74,0
MACHINE_031,2025-01-01 05:00:00,58.49,328.31,2.0,54.72,64.94,0
MACHINE_032,2025-01-01 05:10:00,53.52,156.13,9.05,48.24,5.96,0
MACHINE_033,2025-01-01 05:20:00,59.69,334.18,3.04,52.75,5.38,0
MACHINE_034,2025-01-01 05:30:00,67.28,414.2,6.22,88.02,37.44,0
MACHINE_035,2025-01-01 05:40:00,63.49,320.24,7.69,34.12,26.68,0
MACHINE_036,2025-01-01 05:50:00,22.68,360.09,4.52,52.64,39.63,2
MACHINE_037,2025-01-01 06:00:00,24.67,428.39,8.18,43.65,34.33,0
MACHINE_038,2025-01-01 06:10:00,67.36,160.59,2.78,49.34,59.68,0
MACHINE_039,2025-01-01 06:20:00,30.67,296.51,1.52,37.77,68.33,0
MACHINE_040,2025-01-01 06:30:00,37.26,328.1,5.49,73.79,56.1,0
MACHINE_041,2025-01-01 06:40:00,72.46,198.5,1.97,40.18,58.27,0
MACHINE_042,2025-01-01 06:50:00,25.66,241.01,9.91,65.91,38.62,0
MACHINE_043,2025-01-01 07:00:00,50.51,182.85,7.11,36.82,85.89,0
MACHINE_044,2025-01-01 07:10:00,38.94,192.1,0.95,80.09,6.4,0
MACHINE_045,2025-01-01 07:20:00,24.34,153.71,5.29,33.67,57.96,0
MACHINE_046,2025-01-01 07:30:00,72.94,221.52,9.19,58.59,66.95,0
MACHINE_047,2025-01-01 07:40:00,72.44,482.13,2.66,62.15,69.78,0
MACHINE_048,2025-01-01 07:50:00,73.76,225.05,4.84,66.56,91.74,0
MACHINE_049,2025-01-01 08:00:00,27.66,191.83,6.03,69.87,40.58,0
MACHINE_050,2025-01-01 08:10:00,37.34,268.11,5.5,38.76,15.35,0
MACHINE_051,2025-01-01 08:20:00,49.89,132.32,1.63,80.83,54.59,0
MACHINE_052,2025-01-01 08:30:00,58.7,293.13,9.01,37.45,22.04,0
MACHINE_053,2025-01-01 08:40:00,38.4,432.81,6.93,74.91,16.95,0
MACHINE_054,2025-01-01 08:50:00,49.64,488.56,3.36,37.48,86.78,0
MACHINE_055,2025-01-01 09:00:00,50.2,309.27,5.37,76.76,66.32,0
MACHINE_056,2025-01-01 09:10:00,31.06,243.15,9.87,45.46,90.09,2
MACHINE_057,2025-01-01 09:20:00,33.34,229.99,5.31,41.85,47.6,0
